Sample,Room_Number,Abundance,location,Room_Type,Time,Kingdom,Genus
R1T0_AD,1,0.014182568,AirDuct,Regular,T0,Bacteria,Pseudomonas
R1T0_IB,1,0.021183647,Inside-Blind,Regular,T0,Bacteria,Pseudomonas
R1T0_OB,1,0.032748538,Outside-Blind,Regular,T0,Bacteria,Pseudomonas
R1T0_W,1,0,Window,Regular,T0,Bacteria,Pseudomonas
R1T1_AD,1,0,AirDuct,Regular,T1,Bacteria,Pseudomonas
R1T1_AF,1,0,AirFilter,Regular,T1,Bacteria,Pseudomonas
R1T1_IB,1,0,Inside-Blind,Regular,T1,Bacteria,Pseudomonas
R1T1_OB,1,0.033915276,Outside-Blind,Regular,T1,Bacteria,Pseudomonas
R1T1_P,1,0.041950708,Palm,Regular,T1,Bacteria,Pseudomonas
R1T1_SA,1,0,Saliva,Regular,T1,Bacteria,Pseudomonas
R1T1_W,1,0.197566093,Window,Regular,T1,Bacteria,Pseudomonas
R1T2_AD,1,0,AirDuct,Regular,T2,Bacteria,Pseudomonas
R1T2_IB,1,0,Inside-Blind,Regular,T2,Bacteria,Pseudomonas
R1T2_OB,1,0.021709811,Outside-Blind,Regular,T2,Bacteria,Pseudomonas
R1T2_W,1,0.00521397,Window,Regular,T2,Bacteria,Pseudomonas
R1T3_AD,1,0.008113254,AirDuct,Regular,T3,Bacteria,Pseudomonas
R1T3_AF,1,0.068674399,AirFilter,Regular,T3,Bacteria,Pseudomonas
R1T3_IB,1,0.041664879,Inside-Blind,Regular,T3,Bacteria,Pseudomonas
R1T3_OB,1,0.000804505,Outside-Blind,Regular,T3,Bacteria,Pseudomonas
R1T3_P,1,0.005552985,Palm,Regular,T3,Bacteria,Pseudomonas
R1T3_SA,1,0,Saliva,Regular,T3,Bacteria,Pseudomonas
R1T3_W,1,0.007473044,Window,Regular,T3,Bacteria,Pseudomonas
R2T0_AD,2,0.000511313,AirDuct,Regular,T0,Bacteria,Pseudomonas
R2T0_IB,2,0.011359362,Inside-Blind,Regular,T0,Bacteria,Pseudomonas
R2T0_OB,2,0.025264174,Outside-Blind,Regular,T0,Bacteria,Pseudomonas
R2T0_W,2,0.085890118,Window,Regular,T0,Bacteria,Pseudomonas
R2T1_AD,2,0,AirDuct,Regular,T1,Bacteria,Pseudomonas
R2T1_AF,2,0,AirFilter,Regular,T1,Bacteria,Pseudomonas
R2T1_IB,2,0.035024876,Inside-Blind,Regular,T1,Bacteria,Pseudomonas
R2T1_OB,2,0.018468333,Outside-Blind,Regular,T1,Bacteria,Pseudomonas
R2T1_P,2,0.003807947,Palm,Regular,T1,Bacteria,Pseudomonas
R2T1_SA,2,0,Saliva,Regular,T1,Bacteria,Pseudomonas
R2T1_W,2,0.000480584,Window,Regular,T1,Bacteria,Pseudomonas
R2T2_AD,2,0,AirDuct,Regular,T2,Bacteria,Pseudomonas
R2T2_IB,2,0.017177621,Inside-Blind,Regular,T2,Bacteria,Pseudomonas
R2T2_OB,2,0.021169822,Outside-Blind,Regular,T2,Bacteria,Pseudomonas
R2T2_W,2,0.060815162,Window,Regular,T2,Bacteria,Pseudomonas
R2T3_AD,2,0,AirDuct,Regular,T3,Bacteria,Pseudomonas
R2T3_AF,2,0,AirFilter,Regular,T3,Bacteria,Pseudomonas
R2T3_IB,2,0.003983635,Inside-Blind,Regular,T3,Bacteria,Pseudomonas
R2T3_OB,2,0.050768489,Outside-Blind,Regular,T3,Bacteria,Pseudomonas
R2T3_P,2,0,Palm,Regular,T3,Bacteria,Pseudomonas
R2T3_SA,2,0,Saliva,Regular,T3,Bacteria,Pseudomonas
R2T3_W,2,0.425528318,Window,Regular,T3,Bacteria,Pseudomonas
R3T0_AD,3,0.003570632,AirDuct,Regular,T0,Bacteria,Pseudomonas
R3T0_IB,3,0.036077005,Inside-Blind,Regular,T0,Bacteria,Pseudomonas
R3T0_OB,3,0.022557263,Outside-Blind,Regular,T0,Bacteria,Pseudomonas
R3T0_W,3,0.022452886,Window,Regular,T0,Bacteria,Pseudomonas
R3T1_AD,3,0,AirDuct,Regular,T1,Bacteria,Pseudomonas
R3T1_AF,3,0,AirFilter,Regular,T1,Bacteria,Pseudomonas
R3T1_IB,3,0.003810129,Inside-Blind,Regular,T1,Bacteria,Pseudomonas
R3T1_OB,3,0.018769152,Outside-Blind,Regular,T1,Bacteria,Pseudomonas
R3T1_P,3,0.001184834,Palm,Regular,T1,Bacteria,Pseudomonas
R3T1_SA,3,0,Saliva,Regular,T1,Bacteria,Pseudomonas
R3T1_W,3,0.007558915,Window,Regular,T1,Bacteria,Pseudomonas
R3T2_AD,3,0.001856098,AirDuct,Regular,T2,Bacteria,Pseudomonas
R3T2_IB,3,0.004791057,Inside-Blind,Regular,T2,Bacteria,Pseudomonas
R3T2_OB,3,0.006235926,Outside-Blind,Regular,T2,Bacteria,Pseudomonas
R3T2_W,3,0.02720101,Window,Regular,T2,Bacteria,Pseudomonas
R3T3_AD,3,0.002809975,AirDuct,Regular,T3,Bacteria,Pseudomonas
R3T3_AF,3,0.14806062,AirFilter,Regular,T3,Bacteria,Pseudomonas
R3T3_IB,3,0.030374808,Inside-Blind,Regular,T3,Bacteria,Pseudomonas
R3T3_OB,3,0.006900477,Outside-Blind,Regular,T3,Bacteria,Pseudomonas
R3T3_P,3,0,Palm,Regular,T3,Bacteria,Pseudomonas
R3T3_SA,3,0,Saliva,Regular,T3,Bacteria,Pseudomonas
R3T3_W,3,0.023074595,Window,Regular,T3,Bacteria,Pseudomonas
R4T0_AD,4,0,AirDuct,Regular,T0,Bacteria,Pseudomonas
R4T1_AD,4,0.003495727,AirDuct,Regular,T1,Bacteria,Pseudomonas
R5T0_AD,5,0.010404949,AirDuct,Regular,T0,Bacteria,Pseudomonas
R5T0_IB,5,0.014063379,Inside-Blind,Regular,T0,Bacteria,Pseudomonas
R5T0_OB,5,0.000174535,Outside-Blind,Regular,T0,Bacteria,Pseudomonas
R5T0_W,5,0.0279786,Window,Regular,T0,Bacteria,Pseudomonas
R5T1_AD,5,0.074090235,AirDuct,Regular,T1,Bacteria,Pseudomonas
R5T1_AF,5,0,AirFilter,Regular,T1,Bacteria,Pseudomonas
R5T1_IB,5,0.009258116,Inside-Blind,Regular,T1,Bacteria,Pseudomonas
R5T1_OB,5,0.010748194,Outside-Blind,Regular,T1,Bacteria,Pseudomonas
R5T1_P,5,0.02002271,Palm,Regular,T1,Bacteria,Pseudomonas
R5T1_SA,5,0,Saliva,Regular,T1,Bacteria,Pseudomonas
R5T1_W,5,0.013532478,Window,Regular,T1,Bacteria,Pseudomonas
R5T2_AD,5,0.006144089,AirDuct,Regular,T2,Bacteria,Pseudomonas
R5T2_IB,5,0.012259565,Inside-Blind,Regular,T2,Bacteria,Pseudomonas
R5T2_OB,5,0,Outside-Blind,Regular,T2,Bacteria,Pseudomonas
R5T2_W,5,0,Window,Regular,T2,Bacteria,Pseudomonas
R5T3_AD,5,0,AirDuct,Regular,T3,Bacteria,Pseudomonas
R5T3_AF,5,0,AirFilter,Regular,T3,Bacteria,Pseudomonas
R5T3_IB,5,0.022324404,Inside-Blind,Regular,T3,Bacteria,Pseudomonas
R5T3_OB,5,0.000374292,Outside-Blind,Regular,T3,Bacteria,Pseudomonas
R5T3_P,5,0.035037986,Palm,Regular,T3,Bacteria,Pseudomonas
R5T3_SA,5,0,Saliva,Regular,T3,Bacteria,Pseudomonas
R5T3_W,5,0,Window,Regular,T3,Bacteria,Pseudomonas
R6T1_AD,6,0.004733584,AirDuct,Regular,T1,Bacteria,Pseudomonas
R6T1_AF,6,0,AirFilter,Regular,T1,Bacteria,Pseudomonas
R6T1_IB,6,0.109449354,Inside-Blind,Regular,T1,Bacteria,Pseudomonas
R6T1_OB,6,0.015410299,Outside-Blind,Regular,T1,Bacteria,Pseudomonas
R6T1_P,6,0.000274983,Palm,Regular,T1,Bacteria,Pseudomonas
R6T1_SA,6,0,Saliva,Regular,T1,Bacteria,Pseudomonas
R6T1_W,6,0.00192882,Window,Regular,T1,Bacteria,Pseudomonas
R6T2_AD,6,0.001513145,AirDuct,Regular,T2,Bacteria,Pseudomonas
R6T2_IB,6,0.036726051,Inside-Blind,Regular,T2,Bacteria,Pseudomonas
R6T2_OB,6,0.008342501,Outside-Blind,Regular,T2,Bacteria,Pseudomonas
R6T2_W,6,0.010562755,Window,Regular,T2,Bacteria,Pseudomonas
R6T3_AD,6,0.000478149,AirDuct,Regular,T3,Bacteria,Pseudomonas
R6T3_AF,6,0.024528606,AirFilter,Regular,T3,Bacteria,Pseudomonas
R6T3_IB,6,0,Inside-Blind,Regular,T3,Bacteria,Pseudomonas
R6T3_OB,6,0.046921348,Outside-Blind,Regular,T3,Bacteria,Pseudomonas
R6T3_P,6,0.016090606,Palm,Regular,T3,Bacteria,Pseudomonas
R6T3_SA,6,0,Saliva,Regular,T3,Bacteria,Pseudomonas
R6T3_W,6,0.124064101,Window,Regular,T3,Bacteria,Pseudomonas
W1T0_AD,1,0.010464758,AirDuct,View,T0,Bacteria,Pseudomonas
W1T0_W,1,0.030971775,Window,View,T0,Bacteria,Pseudomonas
W1T1_AD,1,0.048426011,AirDuct,View,T1,Bacteria,Pseudomonas
W1T1_AF,1,0,AirFilter,View,T1,Bacteria,Pseudomonas
W1T1_P,1,0,Palm,View,T1,Bacteria,Pseudomonas
W1T1_SA,1,0,Saliva,View,T1,Bacteria,Pseudomonas
W1T1_W,1,0.065822322,Window,View,T1,Bacteria,Pseudomonas
W1T2_AD,1,0.00629086,AirDuct,View,T2,Bacteria,Pseudomonas
W1T2_W,1,0.265700483,Window,View,T2,Bacteria,Pseudomonas
W1T3_AD,1,0.012920427,AirDuct,View,T3,Bacteria,Pseudomonas
W1T3_AF,1,0.035507724,AirFilter,View,T3,Bacteria,Pseudomonas
W1T3_P,1,0.064143007,Palm,View,T3,Bacteria,Pseudomonas
W1T3_SA,1,0,Saliva,View,T3,Bacteria,Pseudomonas
W1T3_W,1,0.12115364,Window,View,T3,Bacteria,Pseudomonas
W3T0_AD,3,0,AirDuct,View,T0,Bacteria,Pseudomonas
W3T0_W,3,0.095080717,Window,View,T0,Bacteria,Pseudomonas
W3T1_AD,3,0.011981297,AirDuct,View,T1,Bacteria,Pseudomonas
W3T1_AF,3,0.010254973,AirFilter,View,T1,Bacteria,Pseudomonas
W3T1_P,3,0.005822205,Palm,View,T1,Bacteria,Pseudomonas
W3T1_SA,3,0,Saliva,View,T1,Bacteria,Pseudomonas
W3T1_W,3,0.045149087,Window,View,T1,Bacteria,Pseudomonas
W3T2_AD,3,0.005496903,AirDuct,View,T2,Bacteria,Pseudomonas
W3T2_W,3,0,Window,View,T2,Bacteria,Pseudomonas
W3T3_AD,3,0,AirDuct,View,T3,Bacteria,Pseudomonas
W3T3_AF,3,0.020783432,AirFilter,View,T3,Bacteria,Pseudomonas
W3T3_P,3,0.000344911,Palm,View,T3,Bacteria,Pseudomonas
W3T3_SA,3,0,Saliva,View,T3,Bacteria,Pseudomonas
W3T3_W,3,0.132154359,Window,View,T3,Bacteria,Pseudomonas
W4T0_AD,4,0.029727844,AirDuct,View,T0,Bacteria,Pseudomonas
W4T0_W,4,0,Window,View,T0,Bacteria,Pseudomonas
W4T1_AD,4,0.001967052,AirDuct,View,T1,Bacteria,Pseudomonas
W4T1_AF,4,0.020478246,AirFilter,View,T1,Bacteria,Pseudomonas
W4T1_P,4,0,Palm,View,T1,Bacteria,Pseudomonas
W4T1_SA,4,0,Saliva,View,T1,Bacteria,Pseudomonas
W4T1_W,4,0.007393301,Window,View,T1,Bacteria,Pseudomonas
W4T2_AD,4,0.066345441,AirDuct,View,T2,Bacteria,Pseudomonas
W4T2_W,4,0.018553689,Window,View,T2,Bacteria,Pseudomonas
W4T3_AD,4,0.072883295,AirDuct,View,T3,Bacteria,Pseudomonas
W4T3_AF,4,0,AirFilter,View,T3,Bacteria,Pseudomonas
W4T3_P,4,0.025437202,Palm,View,T3,Bacteria,Pseudomonas
W4T3_SA,4,0,Saliva,View,T3,Bacteria,Pseudomonas
W4T3_W,4,0,Window,View,T3,Bacteria,Pseudomonas
W5T0_AD,5,0.012255794,AirDuct,View,T0,Bacteria,Pseudomonas
W5T0_W,5,0.05521743,Window,View,T0,Bacteria,Pseudomonas
W5T1_AD,5,0.006629685,AirDuct,View,T1,Bacteria,Pseudomonas
W5T1_AF,5,0,AirFilter,View,T1,Bacteria,Pseudomonas
W5T1_P,5,0.066711786,Palm,View,T1,Bacteria,Pseudomonas
W5T1_SA,5,0,Saliva,View,T1,Bacteria,Pseudomonas
W5T1_W,5,0.037907709,Window,View,T1,Bacteria,Pseudomonas
W5T2_AD,5,0.026572291,AirDuct,View,T2,Bacteria,Pseudomonas
W5T2_W,5,0.028571429,Window,View,T2,Bacteria,Pseudomonas
W5T3_AD,5,0,AirDuct,View,T3,Bacteria,Pseudomonas
W5T3_AF,5,0.044917914,AirFilter,View,T3,Bacteria,Pseudomonas
W5T3_P,5,0.115669981,Palm,View,T3,Bacteria,Pseudomonas
W5T3_SA,5,0.000651371,Saliva,View,T3,Bacteria,Pseudomonas
W5T3_W,5,0.101342282,Window,View,T3,Bacteria,Pseudomonas
W6T1_AD,6,0.008972679,AirDuct,View,T1,Bacteria,Pseudomonas
W6T1_AF,6,0,AirFilter,View,T1,Bacteria,Pseudomonas
W6T1_P,6,0.000727148,Palm,View,T1,Bacteria,Pseudomonas
W6T1_SA,6,0,Saliva,View,T1,Bacteria,Pseudomonas
W6T1_W,6,0.009829124,Window,View,T1,Bacteria,Pseudomonas
W6T2_AD,6,0.006389776,AirDuct,View,T2,Bacteria,Pseudomonas
W6T2_W,6,0,Window,View,T2,Bacteria,Pseudomonas
W6T3_AD,6,0,AirDuct,View,T3,Bacteria,Pseudomonas
W6T3_AF,6,0,AirFilter,View,T3,Bacteria,Pseudomonas
W6T3_P,6,0.002280289,Palm,View,T3,Bacteria,Pseudomonas
W6T3_SA,6,0,Saliva,View,T3,Bacteria,Pseudomonas
W6T3_W,6,0.114535324,Window,View,T3,Bacteria,Pseudomonas