PID,Room_Number,Sample,Room_Type,Time,LogC,Copy No.uL
RR1T1,1,AirSample,Regular,T1,1.544068044,35
RR1T3,1,AirSample,Regular,T3,1.942306629,87.56
RR2T1,2,AirSample,Regular,T1,1.72796548,53.452
RR2T3,2,AirSample,Regular,T3,2.280806714,190.9
RR3T1,3,AirSample,Regular,T1,2.050936181,112.444
RR3T3,3,AirSample,Regular,T3,1.888357245,77.332
RR4T0,4,AirSample,Regular,T0,2.559266145,362.465
RR5T1,5,AirSample,Regular,T1,1.835725671,68.506
RR5T3,5,AirSample,Regular,T3,1.918586838,82.906
RR6T1,6,AirSample,Regular,T1,1.663885194,46.12
RR6T3,6,AirSample,Regular,T3,2.401917512,252.3
WR1T1,1,AirSample,View,T1,2.417049585,261.246
WR1T3,1,AirSample,View,T3,2.334913635,216.229
WR3T1,3,AirSample,View,T1,2.820762129,661.854
WR3T3,3,AirSample,View,T3,2.884252271,766.041
WR4T1,4,AirSample,View,T1,2.46225557,289.905
WR4T3,4,AirSample,View,T3,2.317805111,207.876
WR5T1,5,AirSample,View,T1,2.281550088,191.227
WR5T3,5,AirSample,View,T3,2.239268478,173.488
WR6T1,6,AirSample,View,T1,2.587315767,386.648
WR6T3,6,AirSample,View,T3,2.277129127,189.291
RR1T0,1,Window,Regular,T0,2.800744007,632.0391885
RR1T1,1,Window,Regular,T1,3.127445273,1341.050934
RR1T2,1,Window,Regular,T2,3.75606799,5702.535401
RR1T3,1,Window,Regular,T3,3.826823236,6711.55628
RR2T0,2,Window,Regular,T0,2.669652392,467.3609171
RR2T1,2,Window,Regular,T1,2.832833966,680.5091457
RR2T2,2,Window,Regular,T2,2.75830028,573.1922108
RR2T3,2,Window,Regular,T3,2.565564542,367.7600435
RR3T0,3,Window,Regular,T0,3.049488366,1120.697405
RR3T1,3,Window,Regular,T1,2.745159249,556.1081362
RR3T2,3,Window,Regular,T2,2.549928001,354.7545718
RR3T3,3,Window,Regular,T3,2.802856703,635.1213368
RR5T0,5,Window,Regular,T0,2.541517488,347.9505182
RR5T1,5,Window,Regular,T1,3.802137807,6340.708784
RR5T2,5,Window,Regular,T2,2.503212638,318.5756941
RR5T3,5,Window,Regular,T3,2.441011355,276.0650032
RR6T1,6,Window,Regular,T1,2.96705189,926.9405695
RR6T2,6,Window,Regular,T2,2.886202481,769.4891148
RR6T3,6,Window,Regular,T3,2.514884723,327.2538188
WR1T0,1,Window,View,T0,1.544068044,35
WR1T1,1,Window,View,T1,2.691939288,491.9707565
WR1T2,1,Window,View,T2,2.45545712,285.4020711
WR1T3,1,Window,View,T3,2.537741442,344.9383182
WR3T0,3,Window,View,T0,2.868475199,738.7120773
WR3T1,3,Window,View,T1,2.654873714,451.7245704
WR3T2,3,Window,View,T2,2.482490014,303.7316252
WR3T3,3,Window,View,T3,3.039574602,1095.404704
WR4T0,4,Window,View,T0,2.99540777,989.4817088
WR4T1,4,Window,View,T1,2.393827455,247.6437973
WR4T2,4,Window,View,T2,1.544068044,35
WR4T3,4,Window,View,T3,2.207306995,161.1784575
WR5T0,5,Window,View,T0,2.354342735,226.1219569
WR5T1,5,Window,View,T1,2.228798652,169.3552454
WR5T2,5,Window,View,T2,2.664776507,462.1431355
WR5T3,5,Window,View,T3,2.167274725,146.9855783
WR6T1,6,Window,View,T1,1.544068044,35
WR6T2,6,Window,View,T2,1.544068044,35
WR6T3,6,Window,View,T3,1.597087083,39.54459051
RR1T0,1,AirDuct,Regular,T0,3.355871282,2269.192201
RR1T1,1,AirDuct,Regular,T1,2.795706285,624.7500296
RR1T2,1,AirDuct,Regular,T2,3.612295943,4095.396392
RR1T3,1,AirDuct,Regular,T3,3.588442848,3876.527312
RR2T0,2,AirDuct,Regular,T0,3.911865187,8163.289284
RR2T1,2,AirDuct,Regular,T1,3.381840911,2409.022804
RR2T2,2,AirDuct,Regular,T2,3.884628273,7667.049603
RR2T3,2,AirDuct,Regular,T3,3.594638164,3932.223222
RR3T0,3,AirDuct,Regular,T0,4.043557023,11054.95611
RR3T1,3,AirDuct,Regular,T1,3.496043605,3133.600337
RR3T2,3,AirDuct,Regular,T2,4.112229851,12948.80977
RR3T3,3,AirDuct,Regular,T3,4.460805642,28893.86517
RR4T0,4,AirDuct,Regular,T0,5.429660031,268942.8677
RR4T1,4,AirDuct,Regular,T1,5.107534451,128095.6705
RR5T0,5,AirDuct,Regular,T0,2.875249764,750.3255992
RR5T1,5,AirDuct,Regular,T1,2.924377492,840.1899683
RR5T2,5,AirDuct,Regular,T2,3.302481462,2006.695433
RR5T3,5,AirDuct,Regular,T3,3.105561091,1275.14946
RR6T1,6,AirDuct,Regular,T1,3.573996655,3749.701139
RR6T2,6,AirDuct,Regular,T2,3.593155848,3918.824801
RR6T3,6,AirDuct,Regular,T3,3.779124411,6013.459787
WR1T0,1,AirDuct,View,T0,3.785370093,6100.565483
WR1T1,1,AirDuct,View,T1,2.914280581,820.8817124
WR1T2,1,AirDuct,View,T2,3.04431029,1107.414715
WR1T3,1,AirDuct,View,T3,3.813242345,6504.925772
WR3T0,3,AirDuct,View,T0,2.848250243,705.0992347
WR3T1,3,AirDuct,View,T1,2.565959155,368.0943531
WR3T2,3,AirDuct,View,T3,3.027983639,1066.555941
WR3T3,3,AirDuct,View,T2,3.173701331,1491.768151
WR4T0,4,AirDuct,View,T0,4.607521671,40506.21566
WR4T1,4,AirDuct,View,T1,4.497799956,31462.98737
WR4T2,4,AirDuct,View,T2,2.991568367,980.7726971
WR4T3,4,AirDuct,View,T3,3.426074577,2667.316655
WR5T0,5,AirDuct,View,T0,3.583901552,3836.202743
WR5T1,5,AirDuct,View,T1,3.793658131,6218.106143
WR5T2,5,AirDuct,View,T2,3.336526783,2170.335046
WR5T3,5,AirDuct,View,T3,3.303541838,2011.600977
WR6T1,6,AirDuct,View,T1,1.544068044,35
WR6T2,6,AirDuct,View,T2,1.544068044,35
WR6T3,6,AirDuct,View,T3,1.544068044,35
RR1T0,1,Blinds,Regular,T0,3.378546249,2390.816527
RR1T1,1,Blinds,Regular,T1,3.085280553,1216.971908
RR1T2,1,Blinds,Regular,T2,2.654166116,450.9891727
RR1T3,1,Blinds,Regular,T3,2.824732948,667.933073
RR2T0,2,Blinds,Regular,T0,3.725828932,5318.987038
RR2T1,2,Blinds,Regular,T1,2.648522565,445.1665921
RR2T2,2,Blinds,Regular,T2,3.762060237,5781.762354
RR2T3,2,Blinds,Regular,T3,3.689538394,4892.585165
RR3T0,3,Blinds,Regular,T0,2.425938918,266.6483608
RR3T1,3,Blinds,Regular,T1,4.27992177,19051.17514
RR3T2,3,Blinds,Regular,T2,5.003151605,100728.3233
RR3T3,3,Blinds,Regular,T3,3.980094942,9552.013823
RR4T0,4,Blinds,Regular,T0,2.622430302,419.2087142
RR4T1,4,Blinds,Regular,T1,2.592284904,391.0973781
RR5T0,5,Blinds,Regular,T0,3.503665152,3189.078075
RR5T1,5,Blinds,Regular,T1,4.050226991,11226.05048
RR5T2,5,Blinds,Regular,T2,2.780433313,603.1610839
RR5T3,5,Blinds,Regular,T3,3.313500926,2058.26328
RR6T1,6,Blinds,Regular,T1,2.143833968,139.2624296
RR6T2,6,Blinds,Regular,T2,3.523419102,3337.483306
RR6T3,6,Blinds,Regular,T3,2.944977281,881.0027837
RR1T1,1,Palm,Regular,T1,3.998428016,9963.869154
RR1T3,1,Palm,Regular,T3,3.080013201,1202.300979
RR2T1,2,Palm,Regular,T1,4.036567374,10878.45888
RR2T3,2,Palm,Regular,T3,2.890963634,777.9714049
RR3T1,3,Palm,Regular,T1,5.555778645,359566.0213
RR3T3,3,Palm,Regular,T3,2.425129464,266.1518346
RR5T1,5,Palm,Regular,T1,3.953853507,8991.942208
RR5T3,5,Palm,Regular,T3,3.779212767,6014.68333
RR6T1,6,Palm,Regular,T1,4.28171612,19130.05067
RR6T3,6,Palm,Regular,T3,4.203795645,15988.0554
WR1T1,1,Palm,View,T1,3.623007032,4197.657807
WR1T3,1,Palm,View,T3,3.340344802,2189.499256
WR3T1,3,Palm,View,T1,4.131512722,13536.69744
WR3T3,3,Palm,View,T3,5.398318418,250217.9249
WR4T1,4,Palm,View,T1,2.203061056,159.6103523
WR4T3,4,Palm,View,T3,5.174328738,149392.4805
WR5T1,5,Palm,View,T1,5.191057861,155259.3849
WR5T3,5,Palm,View,T3,2.750787766,563.3622813
WR6T1,6,Palm,View,T1,6.37601122,2376901.69
WR6T3,6,Palm,View,T3,4.8635331,73035.34746
RR1T1,1,Saliva,Regular,T1,8.311838496,205039953.9
RR1T3,1,Saliva,Regular,T3,7.441391439,27630671.45
RR2T1,2,Saliva,Regular,T1,8.221136951,166393727.8
RR2T3,2,Saliva,Regular,T3,7.919613365,83102361.56
RR3T1,3,Saliva,Regular,T1,8.081782674,120720958.1
RR3T3,3,Saliva,Regular,T3,8.457771029,286926743.2
RR4T1,4,Saliva,Regular,T1,8.656059562,452959697.5
RR4T3,4,Saliva,Regular,T3,9.501659529,3174384494
RR5T1,5,Saliva,Regular,T1,8.800906287,632275403.4
RR5T3,5,Saliva,Regular,T3,8.781513742,604663484.1
WR1T1,1,Saliva,View,T1,6.069070765,1172386.383
WR1T3,1,Saliva,View,T3,7.388945116,24487537.6
WR3T1,3,Saliva,View,T1,8.785557834,610320325.8
WR3T3,3,Saliva,View,T3,8.702648759,504253311.9
WR4T1,4,Saliva,View,T1,6.33953195,2185405.09
WR4T3,4,Saliva,View,T3,7.800222318,63128041.78
WR5T1,5,Saliva,View,T1,7.403449732,25319185.58
WR5T3,5,Saliva,View,T3,7.580337545,38048500.43
WR6T1,6,Saliva,View,T1,7.500577157,31664829.71
WR6T3,6,Saliva,View,T3,7.677952109,47637845.18