PID,Time,Room_Type,Room_Number,Location,shannon
R1T0,T0,Regular,1,AirDuct,3.675356841
R1T0,T0,Regular,1,Inside_Blind,3.863659928
R1T0,T0,Regular,1,Outside_Blind,4.554153551
R1T0,T0,Regular,1,Window,2.414630019
R1T1,T1,Regular,1,AirDuct,2.948365738
R1T1,T1,Regular,1,AirSample,2.244214239
R1T1,T1,Regular,1,Inside_Blind,4.005415392
R1T1,T1,Regular,1,Outside_Blind,3.028556473
R1T1,T1,Regular,1,Palm,4.006665994
R1T1,T1,Regular,1,Saliva,3.093650306
R1T1,T1,Regular,1,Window,2.994318392
R1T2,T2,Regular,1,AirDuct,3.617234476
R1T2,T2,Regular,1,Inside_Blind,3.351755957
R1T2,T2,Regular,1,Outside_Blind,4.269733376
R1T2,T2,Regular,1,Window,4.192210336
R1T3,T3,Regular,1,AirDuct,3.685875255
R1T3,T3,Regular,1,AirSample,2.437574559
R1T3,T3,Regular,1,Inside_Blind,2.472934463
R1T3,T3,Regular,1,Outside_Blind,4.57096802
R1T3,T3,Regular,1,Palm,4.444509557
R1T3,T3,Regular,1,Saliva,3.230730247
R1T3,T3,Regular,1,Window,4.242055354
R2T0,T0,Regular,2,AirDuct,4.36978206
R2T0,T0,Regular,2,Inside_Blind,4.342676222
R2T0,T0,Regular,2,Outside_Blind,4.2755941
R2T0,T0,Regular,2,Window,3.856631769
R2T1,T1,Regular,2,AirDuct,4.067485427
R2T1,T1,Regular,2,AirSample,2.277707962
R2T1,T1,Regular,2,Inside_Blind,3.866094958
R2T1,T1,Regular,2,Outside_Blind,3.844741573
R2T1,T1,Regular,2,Palm,4.010411053
R2T1,T1,Regular,2,Saliva,2.038581451
R2T1,T1,Regular,2,Window,3.604433841
R2T2,T2,Regular,2,AirDuct,4.326307192
R2T2,T2,Regular,2,Inside_Blind,4.453801823
R2T2,T2,Regular,2,Outside_Blind,4.355028351
R2T2,T2,Regular,2,Window,3.429493232
R2T3,T3,Regular,2,AirDuct,4.244873116
R2T3,T3,Regular,2,AirSample,2.654032723
R2T3,T3,Regular,2,Inside_Blind,4.454950547
R2T3,T3,Regular,2,Outside_Blind,4.060558078
R2T3,T3,Regular,2,Palm,2.949047256
R2T3,T3,Regular,2,Saliva,2.100370401
R2T3,T3,Regular,3,Window,3.283279324
R3T0,T0,Regular,3,AirDuct,4.364269864
R3T0,T0,Regular,3,Inside_Blind,3.832047434
R3T0,T0,Regular,3,Outside_Blind,4.626950209
R3T0,T0,Regular,3,Window,2.834841137
R3T1,T1,Regular,3,AirDuct,4.549595772
R3T1,T1,Regular,3,AirSample,2.713924578
R3T1,T1,Regular,3,Inside_Blind,4.48607756
R3T1,T1,Regular,3,Outside_Blind,4.38294097
R3T1,T1,Regular,3,Palm,2.935132067
R3T1,T1,Regular,3,Saliva,2.885253708
R3T1,T1,Regular,3,Window,3.479171892
R3T2,T2,Regular,3,AirDuct,3.868028268
R3T2,T2,Regular,3,Inside_Blind,4.285783985
R3T2,T2,Regular,3,Outside_Blind,4.731567921
R3T2,T2,Regular,3,Window,3.009413758
R3T3,T3,Regular,3,AirDuct,4.301136709
R3T3,T3,Regular,3,AirSample,3.08630983
R3T3,T3,Regular,3,Inside_Blind,4.184037896
R3T3,T3,Regular,3,Outside_Blind,4.545577989
R3T3,T3,Regular,3,Palm,1.67292876
R3T3,T3,Regular,3,Saliva,3.114857018
R3T3,T3,Regular,3,Window,3.487561821
R4T0,T0,Regular,4,AirDuct,0.773531988
R4T1,T1,Regular,4,AirDuct,4.807047691
R5T0,T0,Regular,5,AirDuct,4.35476064
R5T0,T0,Regular,5,Inside_Blind,4.229883804
R5T0,T0,Regular,5,Outside_Blind,3.284857739
R5T0,T0,Regular,5,Window,3.34022802
R5T1,T1,Regular,5,AirDuct,3.446957329
R5T1,T1,Regular,5,AirSample,2.370214348
R5T1,T1,Regular,5,Inside_Blind,4.180835445
R5T1,T1,Regular,5,Outside_Blind,4.22334404
R5T1,T1,Regular,5,Palm,4.078130388
R5T1,T1,Regular,5,Saliva,2.097236461
R5T1,T1,Regular,5,Window,4.244032294
R5T2,T2,Regular,5,AirDuct,4.459165227
R5T2,T2,Regular,5,Inside_Blind,3.281775033
R5T2,T2,Regular,5,Outside_Blind,2.327733011
R5T2,T2,Regular,5,Window,3.127658578
R5T3,T3,Regular,5,AirDuct,4.030407647
R5T3,T3,Regular,5,AirSample,2.188066001
R5T3,T3,Regular,5,Inside_Blind,3.871141707
R5T3,T3,Regular,5,Outside_Blind,3.758646971
R5T3,T3,Regular,5,Palm,4.144821447
R5T3,T3,Regular,5,Saliva,2.148816034
R5T3,T3,Regular,5,Window,3.137213343
R6T1,T1,Regular,6,AirDuct,4.2252357
R6T1,T1,Regular,6,AirSample,2.198827815
R6T1,T1,Regular,6,Inside_Blind,3.166345935
R6T1,T1,Regular,6,Outside_Blind,3.994886979
R6T1,T1,Regular,6,Palm,1.580464772
R6T1,T1,Regular,6,Saliva,1.093747705
R6T1,T1,Regular,6,Window,3.814508442
R6T2,T2,Regular,6,AirDuct,3.97682151
R6T2,T2,Regular,6,Inside_Blind,4.307813561
R6T2,T2,Regular,6,Outside_Blind,4.349950197
R6T2,T2,Regular,6,Window,3.487792398
R6T3,T3,Regular,6,AirDuct,4.322845678
R6T3,T3,Regular,6,AirSample,2.945554645
R6T3,T3,Regular,6,Inside_Blind,3.879058229
R6T3,T3,Regular,6,Outside_Blind,4.202008506
R6T3,T3,Regular,6,Palm,2.739937703
R6T3,T3,Regular,6,Saliva,1.131398428
R6T3,T3,Regular,6,Window,3.209623393
W1T0,T0,View,1,AirDuct,3.541633859
W1T0,T0,View,1,Window,3.264976102
W1T1,T1,View,1,AirDuct,2.794914707
W1T1,T1,View,1,AirSample,3.448833184
W1T1,T1,View,1,Palm,4.103075951
W1T1,T1,View,1,Saliva,2.229817566
W1T1,T1,View,1,Window,2.991805157
W1T2,T2,View,1,AirDuct,3.632124459
W1T2,T2,View,1,Window,2.767644478
W1T3,T3,View,1,AirDuct,3.942229969
W1T3,T3,View,1,AirSample,3.219883066
W1T3,T3,View,1,Palm,3.386466632
W1T3,T3,View,1,Saliva,2.022216651
W1T3,T3,View,1,Window,3.017886062
W3T0,T0,View,3,AirDuct,3.465169791
W3T0,T0,View,3,Window,3.776022449
W3T1,T1,View,3,AirDuct,2.937192061
W3T1,T1,View,3,AirSample,3.128630064
W3T1,T1,View,3,Palm,1.370938304
W3T1,T1,View,3,Saliva,3.275217229
W3T1,T1,View,3,Window,2.747553911
W3T2,T2,View,3,AirDuct,2.745278096
W3T2,T2,View,3,Window,2.729752278
W3T3,T3,View,3,AirDuct,3.353600001
W3T3,T3,View,3,AirSample,3.894409823
W3T3,T3,View,3,Palm,2.626383289
W3T3,T3,View,3,Saliva,3.135419728
W3T3,T3,View,3,Window,2.496420333
W4T0,T0,View,4,AirDuct,4.518618465
W4T0,T0,View,4,Window,2.28681874
W4T1,T1,View,4,AirDuct,4.336338375
W4T1,T1,View,4,AirSample,3.923835091
W4T1,T1,View,4,Palm,0.924011183
W4T1,T1,View,4,Saliva,3.15547852
W4T1,T1,View,4,Window,3.589788582
W4T2,T2,View,4,AirDuct,3.422780412
W4T2,T2,View,4,Window,3.504408266
W4T3,T3,View,4,AirDuct,3.986876791
W4T3,T3,View,4,AirSample,3.735965923
W4T3,T3,View,4,Palm,3.608863515
W4T3,T3,View,4,Saliva,3.731561231
W4T3,T3,View,4,Window,3.149069505
W5T0,T0,View,5,AirDuct,4.318075894
W5T0,T0,View,5,Window,2.835688094
W5T1,T1,View,5,AirDuct,3.949522582
W5T1,T1,View,5,AirSample,3.200887083
W5T1,T1,View,5,Palm,4.067118758
W5T1,T1,View,5,Saliva,2.892281124
W5T1,T1,View,5,Window,2.744534826
W5T2,T2,View,5,AirDuct,4.292332527
W5T2,T2,View,5,Window,1.865447437
W5T3,T3,View,5,AirDuct,3.807842559
W5T3,T3,View,5,AirSample,2.739123537
W5T3,T3,View,5,Palm,2.310714872
W5T3,T3,View,5,Saliva,2.885634793
W5T3,T3,View,5,Window,3.175442975
W6T1,T1,View,6,AirDuct,3.830979712
W6T1,T1,View,6,AirSample,2.680265346
W6T1,T1,View,6,Palm,1.342674474
W6T1,T1,View,6,Saliva,1.410389897
W6T1,T1,View,6,Window,2.522660644
W6T2,T2,View,6,AirDuct,3.978599531
W6T2,T2,View,6,Window,2.289685025
W6T3,T3,View,6,AirDuct,4.010877975
W6T3,T3,View,6,AirSample,3.761004769
W6T3,T3,View,6,Palm,1.209656773
W6T3,T3,View,6,Saliva,2.256110597
W6T3,T3,View,6,Window,3.34450227